key,disp,jp,en,icon,reg
(e)su-,*(e)su-,良い,good,root-concept/root-esu.png,
(s)kep-,*(s)kep-,切る,to cut,root-concept/root-skep.png,
(s)ker-3,*(s)ker-3,回す,to turn,root-concept/root-sker3.png,
(s)keu-,*(s)keu-,覆う,to cover,root-concept/root-skeu.png,
(s)tenə-,*(s)tenə-,雷鳴がする,to thunder,root-concept/root-stene.png,
(s)twer-1,*(s)twer-1,回す,spin,root-concept/root-stwer1.png,
-lo-,-lo-,小,small,root-concept/root-lo.png,
-nt-,-nt-,,,root-concept/root-nt.png,
-ti-,-ti-,,,root-concept/root-ti.png,
-yo-3,-yo-3,,,root-concept/root-yo3.png,
-ā-,-ā-,,,root-concept/root-a.png,
ad-,*ad-,～へ,to,root-concept/root-ad.png,
aiw-,*aiw-,生命の力,vital force,root-concept/root-aiw.png,
ak-,*ak-,鋭い,sharp,root-concept/root-ak.png,
akʷ-ā-,*akʷ-ā-,水,water,root-concept/root-akwa.png,
al-1,*al-1,越えて,beyond,root-concept/root-al1.png,
al-5,*al-5,全て,all,root-concept/root-al5.png,
albho-,*albho-,白,white,root-concept/root-albho.png,
ambhi,*ambhi,周囲に,around,root-concept/root-ambhi.png,
an-,*an-,上に,on,root-concept/root-an.png,
ank-,*ank-,曲げる,bend,root-concept/root-ank.png,
ansu-,*ansu-,霊,spirit,root-concept/root-ansu.png,
ant-,*ant-,前,front,root-concept/root-ant.png,
anə-,*anə-,息をする,to breathe,root-concept/root-ane.png,ane
apo-,*apo-,離れて,off,root-concept/root-apo.png,
aus-4,*aus-4,耳,ear,root-concept/root-aus4.png,
autos,*autos,自己,,root-concept/root-autos.png,
awi-,*awi-,鳥,bird,root-concept/root-awi.png,
bhei-,*bhei-,蜂,bee,root-concept/root-bhei.png,
bhel-1,*bhel-1,輝く,to shine,root-concept/root-bhel1.png,
bheug-2,*bheug-2,楽しむ,revel,root-concept/root-bheug2.png,
bhleu-,*bhleu-,膨張する,to swell,root-concept/root-bhleu.png,
bhrūg-,*bhrūg-,農産物,agricultural produce,root-concept/root-bhrug.png,
bhā-1,*bhā-1,輝く,to shine,root-concept/root-bha1.png,
bhā-2,*bhā-2,話す,to speak,root-concept/root-bha2.png,bha
de-,*de-,指し示す,to point,root-concept/root-de.png,
dekm̥,*dekm̥,十,ten,root-concept/root-dekm.png,
del-1,*del-1,長い,long,root-concept/root-del1.png,
deru-,*deru-,堅い,to be firm,root-concept/root-deru.png,
deu-2,*deu-2,動作をする,to do,root-concept/root-deu2.png,
dheigh-,*dheigh-,形作る,to form,root-concept/root-dheigh.png,
dhwer-,*dhwer-,門,door,root-concept/root-dhwer.png,
dhē-,*dhē-,置く,to set,root-concept/root-dhe.png,
dhēs-,*dhēs-,祭礼,religious rite,root-concept/root-dhes.png,
dus-,*dus-,悪い,bad,root-concept/root-dus.png,
dwis-,*dwis-,二つに・離れて,apart,root-concept/root-dwis.png,
dwo-,*dwo-,二,two,root-concept/root-dwo.png,
dyeu-,*dyeu-,輝く,to shine,root-concept/root-dyeu.png,
dā-,*dā-,分ける,to divide,root-concept/root-da.png,
dō-,*dō-,与える,to give,root-concept/root-do.png,do
eghs,*eghs,外へ,out,root-concept/root-eghs.png,
eghs-,*eghs-,eghs-,,,
en,*en,中に,in,root-concept/root-en.png,
epi,*epi,近くに,near,root-concept/root-epi.png,
er-1,*er-1,動かす,to move,root-concept/root-er1.png,
erkʷ-,*erkʷ-,放出,emit,,
ers-2,*ers-2,濡れる,wet,root-concept/root-ers2.png,
erə-3,*erə-3,分ける,divide,root-concept/root-ere3.png,
erədh-,*erədh-,険しい,steep,root-concept/root-eredh.png,
es-,*es-,存在する,to be,root-concept/root-es.png,
g^wei-,*g^wei-,g^wei-,,,
gel-1,*gel-1,明るい,bright,root-concept/root-gel1.png,
genu-1,*genu-1,ひざ・角,knee,root-concept/root-genu1.png,genu
gerbh-,*gerbh-,ひっかく,to scratch,root-concept/root-gerbh.png,
geus-,*geus-,味わう,to taste,root-concept/root-geus.png,
ghers-,*ghers-,逆立つ,to bristle,root-concept/root-ghers.png,
gheu-,*gheu-,注ぐ,to pour,root-concept/root-gheu.png,
ghwer-,*ghwer-,野生動物,wild beast,root-concept/root-ghwer.png,
glei-,*glei-,粘土,clay,root-concept/root-glei.png,
gr̥ə-no-,*gr̥ə-no-,穀物,grain,root-concept/root-greno.png,
