root,w
kaput,head
kaput,capital
kaput,chief
kaput,captain
ane,animal
ane,animation
ane,unanimous
ane,animosity
bha,phone
bha,fate
bha,infant
bha,ban
gwei,quick
gwei,vitamin
gwei,whiskey
gwei,zoo
oino,a
oino,an
oino,one
oino,eleven
reg,rule
reg,rich
reg,dress
reg,right
weid,history
weid,view
weid,vision
weid,wise
ye,subject
ye,disease
ye,ease
ye,project
mori,marine
mori,submarine
mori,mermaid
mori,aquamarine
men,music
men,monster
men,mind
men,mental
do,data
do,add
do,tradition
do,dose
genu,knee
genu,diagonal
genu,polygon
genu,hexagon
