root,w,via,jp,r,note,p
kaput,head,G,頭、首長,128,川の源も、コインの表も、ビールの泡も head。「いちばん上」から。,kaput-
kaput,chapter,L,章、支部,252,ラテン語で「小さな頭」。本の頭出しの見出しが、そのまま章になった。,kaput-
kaput,capital,L,首都、資本、大文字,324,首都も資本も大文字も、原義は「頭の」。ラテン語 caput から。,kaput-
kaput,achieve,L,達成する,376,原義は「頭に届く」。ラテン語 caput「頭」から、やり遂げるの意に。,ad-+kaput-
kaput,ahead,G,前方に,391,中身は「頭の側に」。もとは船の用語で astern の反対だった。,an-+kaput-
kaput,chief,L,長,424,フランス語では chef になった同じ語。原義はラテン語の「頭」。,kaput-
kaput,forehead,G,額,499,中身はそのまま「前の頭」。古英語の形が今も残っている。,per1+kaput-
kaput,heading,G,見出し、進路,506,1300年ごろの意味は「首を切ること」。見出しの意は1849年から。,kaput-
kaput,captain,L,船長、主将,513,船長も機長も主将も、みんなラテン語の「頭」から。,kaput-
kaput,achievement,L,達成,531,まず「やり終えること」を指し、「成果そのもの」は1590年代から。,kaput-
kaput,cattle,L,牛,534,cattle はもと財産全般を指した。牛だけになるのは16世紀末。,kaput-
kaput,cap,G,帽子,543,元はマントの意。さらに古くは女性の頭巾を指した語だった。,kaput-
kaput,capitalism,L,資本主義,549,制度を指す用法は1872年から。もとは社会主義者が投げつけた悪口。,kaput-
kaput,headquarters,L,本部,608,単数の a headquarter は存在しない。原義は「司令官の住まい」。,kaput-+kʷetwer-
kaput,precipitation,L,降水,637,原義は「頭から真っ逆さま」。雨が降る意はあとから加わった。,per1+kaput-
kaput,chiefly,L,主に,648,語根は「頭」。頭に立つ chief が、副詞になって「主に」。,kaput-
kaput,kappa,L,合羽、雨合羽,650,合羽（かっぱ）は、ポルトガル語で「覆い」を意味する capa が南蛮貿易を経て日本に上陸した語。cap / cape と同じ「覆うもの」の感覚をもつ。,
kaput,per capita,L,1人当たり,678,ラテン語で「頭ごとに」。人数を頭の数で数えた言い方。,per1+kaput-
kaput,chef,L,シェフ,710,厨房の「頭」。chief と綴りが分かれただけの同じ語。,kaput-
kaput,mischief,L,いたずら,719,もとは「災難、悪事」。いたずら程度に軽くなったのは1784年ごろ。,mei-1+kaput-
kaput,Capitol,L,議事堂,741,古代ローマの神殿の名。共和政のローマを重ねて建物に付けた。,kaput-
kaput,cabbage,L,キャベツ,754,葉が巻いてできた「小さな頭」。野菜の名前に頭が残っている。,kaput-
kaput,headline,G,大見出し,759,もとは印刷用語で、ページ上端の題と番号の行のこと。新聞の見出しは1890年から。,kaput-+lī̆no-
kaput,precipitate,L,早める,766,もとは「頭から真っ逆さまに落とす」。急に事を起こす意は1620年代から。,per1+kaput-
kaput,header,G,ヘディング,784,15世紀には「首切り役人」の意味だった。サッカーのヘディングは1906年から。,kaput-
kaput,cape,L,岬,812,昔の船乗りは、岬に見まちがえる低い雲を「逃げる岬」と呼んだ。,kaput-
kaput,biceps,L,二頭筋,814,原義は「二つの頭」。-s があっても単数で、bicep という語は無い。,dwo-+kaput-
kaput,occipital,L,後頭部の,834,ラテン語 ob(後ろ)+ caput(頭)。そのまま「後頭部の」。,kaput-+epi
kaput,headlong,G,まっ逆さまに,855,元は headling。sidelong などに引かれて -long に変わった。,kaput-
kaput,precipice,L,絶壁,871,ラテン語で「頭から落ちる」。まっさかさまの落下が崖そのものになった。,per1+kaput-
kaput,redhead,G,髪の毛が赤い人,890,昔はカインもユダも赤ひげだったと言われていた。,reudh-+kaput-
kaput,capricious,L,気紛れな,892,中身は「頭」+「毛が逆立つ」。イタリア語 capriccio から。,kaput-+ghers-
kaput,chattel,L,動産,915,cattle と同じラテン語 capitale「財産」から出た双子。,kaput-
kaput,corporal,L,伍長,917,「肉体の」corporal とは別語。イタリア語 capo「頭」で隊の長。,kaput-
kaput,chieftain,L,首領,921,語源は「頭の人」。captain と同じラテン語 capitaneus の別の姿。,kaput-
kaput,precipitous,L,急な,928,語源は「頭から落ちる」。崖の意味は19世紀から、それまでは「大慌て」だった。,per1+kaput-
kaput,cadet,L,士官学校生,939,中世ラテン語で「小さな頭」。長男が家の頭、次男は小さな頭。,kaput-
kaput,capitulation,L,降伏,959,中身は「小さな頭」で、条項のこと。条件を決めることが「降伏」に。,kaput-
kaput,caprice,L,気紛れ,966,原義は「身震い」。ハリネズミのように髪が逆立つ様子からとも。,kaput-+ghers-
kaput,triceps,L,三頭筋,967,ラテン語で「三つの頭」。筋肉の起点が三つあることから付いた名。,trei-+kaput-
kaput,headstrong,G,わがままな,983,「頭が強い」がそのまま。逆さの strongheaded という語も昔あった。,kaput-+strenk-
kaput,recapitulate,L,要約する,1006,ラテン語で「もう一度、頭から」。章立ての「頭」を並べ直すことを指す。,re-+kaput-
kaput,kerchief,L,カチーフ,1016,服飾の言葉。古フランス語 covrechief(頭を覆うもの)から。cover と chief(頭)からなり、handkerchief の後半である。,kom+epi+wer-5+kaput-
kaput,recapitulation,L,要約,1019,ラテン語 re-(再び)+ caput(頭)から。要点をもう一度並べることで、capital や chief と同じ「頭」の語である。,kaput-+re-
kaput,cad,L,卑劣な男,1051,caddie の短縮形。もとはただの雑用係を指す語だった。,kaput-
kaput,capitulate,L,降伏する,1068,ラテン語の「章立てにする」。降伏の条件を条文に書き分けることが、降伏そのものになった。,kaput-
kaput,occiput,L,後頭部,1068,ラテン語で「頭の後ろ」。capital と同じ「頭」の語である。,epi+kaput-
kaput,decapitation,L,斬首,1080,ラテン語で「頭を離す」。capital と同じ「頭」の語である。,kaput-+de-
kaput,headquarter,L,本部を置く,1122,head と quarter の合成。quarter は「四分の一」が元。,kaput-+kʷetwer-
kaput,capitation,L,均等割,1134,ラテン語 caput(頭)から。頭数で割ることである。,kaput-
kaput,capsize,L,転覆する,1140,スペイン語の「頭から沈める」。capital と同じ「頭」の語。,kaput-
kaput,headphone,Gr,ヘッドホン,1149,head と phone の合成。phone は「声」が元である。,kaput-+bhā-2
kaput,capitate,L,頭状の,1157,ラテン語 caput(頭)から。capital と同じ「頭」の語である。,kaput-
kaput,capo,L,カポ,1166,イタリア語で「指板の頭」。弦を押さえる位置を丸ごとずらす道具である。,kaput-
kaput,behead,G,首を切り取る,1170,古英語 beheafdian「頭を取り去る」。be- は「取り去る」意で、head そのままの語。,ambhi+kaput-
kaput,decapitate,L,首を切りおとす,1199,ラテン語で「頭を落とす」。caput(頭)から、captain と同じ語である。,de-+kaput-
kaput,hammerhead,G,ハンマーの頭,1206,hammer(かなづち)と head から。頭が金づちの形をしたサメ。,ak-+kaput-
kaput,caddie,L,キャディ,1226,ゴルフの言葉。フランス語 cadet(次男)がスコットランドでなまった語。もとは使い走りの若者を指した。,kaput-
kaput,capitellum,L,上腕骨小頭,1228,ラテン語 caput(頭)の小さい形。骨の先の小さな頭を指す。,kaput-
kaput,capitulum,L,頭状花序,1268,ラテン語 caput(頭)の小さい形。chapter と同じ語である。,kaput-
kaput,kaput,G,だめになった,1288,ドイツ語 kaputt(だめになった)から。トランプの負けを表す語からとされる。,kaput-
kaput,hetman,G,首長,1297,ポーランド語 hetman から。ドイツ語 Hauptmann(頭領)にさかのぼる。,kaput-+man-1
kaput,caudillo,L,軍事指導者,1306,スペイン語で「頭に立つ者」。caput(頭)から、captain と同じ語。,kaput-
kaput,cabochon,L,カボション,1336,フランス語で「小さな頭」。ラテン語 caput(頭)から、cabbage と同じ語。,kaput-
kaput,dunderhead,G,のろま,1398,オランダ語 donder(雷)と head から。thunder と同じ語で、「頭に雷が落ちたような」の意である。,(s)tenə-+kaput-
kaput,chapiter,L,柱頭,1401,ラテン語 capitulum(小さな頭)から。chapter や capital と同じ「頭」の語である。,kaput-
kaput,bacalao,L,たら,1460,ラテン語系の「頭」から出たとされる。干し鱈を指すスペイン・ポルトガル語である。,kaput-
kaput,cap-a-pie,L,頭から爪先まで,1508,フランス語で「頭から足へ」。全身くまなく、という言い方である。,ped-+kaput-
kaput,sinciput,L,前頭部,1551,ラテン語 semi-(半分)と caput(頭)から。head や chapter と同じ「頭」の語である。,kaput-
ane,animal,L,動物,372,原義は「息をするもの」。1600年ごろまでは beast が普通の語だった。,anə-
ane,animated,L,生き生きした,684,原義は「息を吹き込まれた」。動く絵を指すのは1890年から。,anə-
ane,animation,L,動画,718,もとは「命を吹き込むこと」。動画の意味になったのは1912年。,anə-+-ti-
ane,unanimous,L,満場一致の,792,直訳は「心が一つ」。その「心」は元をたどれば「息」を表す語。,oi-no-+anə-
ane,inanimate,L,生命のない,820,17世紀には「命を吹き込む」という逆の意味の動詞もあった。,ne+anə-
ane,animate,L,生命を吹き込む,822,原義は「息を吹き込む」。動く絵を作る意味は1888年から。,anə-
ane,animosity,L,敵意,835,15世紀は「勇気」の意味だった。1600年ごろ「敵意」に変わった。,anə-
ane,unanimity,L,一致,918,ラテン語 unanimus は「心がひとつ」。一つ+息(animus)の形。,oi-no-+anə-
ane,equanimity,L,沈着,924,ラテン語で「心が平ら」。もとは公平さの意で、平静を指すのは1610年代。,anə-
ane,anime,G,アニメ,933,英語のanimationが日本で縮まり、1980年代に英語へ逆輸入。,anə-
ane,Enid,Ce,イーニッド,935,人名。中世ウェールズ語で「魂」。もとは「息」の意だった。,anə-
ane,anima,L,アニマ・魂,947,ラテン語の「息」がそのまま「魂」。ユングが心の用語に採り入れた。,anə-
ane,magnanimous,L,度量の大きい,966,ラテン語で「大きな心」。器の大きさをそのまま言葉にした語。,meg-+anə-
ane,animus,L,敵意,969,ラテン語では「心、魂」。英語では敵意という悪い方向にだけ残った。,anə-
ane,magnanimity,L,雅量,981,ラテン語で「大きな心」。ギリシャ語の言い方をそのまま訳した語とされる。,meg-+anə-
ane,animalistic,L,動物的な,1013,ラテン語 animal(生き物)から。anima(息・魂)は animate や animosity と同じ「息」の語である。,anə-
ane,animism,L,霊魂信仰,1059,ラテン語 anima(息、魂)から。animal と同じ語である。,anə-
ane,anemone,Gr,アネモネ,1079,ギリシャ語で「風の娘」。風の吹くときだけ開くと信じられた。,anə-
ane,anemometer,Gr,風速計,1168,ギリシャ語 anemos(風)+ metron(はかり)から。anemone(アネモネ「風の花」)や meter と同じ語からなる。,anə-+mē-2
ane,animatronic,L,アニマトロニクスの,1208,animate(命を吹き込む)と electronic を合わせた造語。,anə-
ane,pusillanimous,L,気の弱い,1222,ラテン語で「小さな心」。気の小ささを、心の大きさで言い表した。,pau-+anə-
ane,animadversion,L,批評,1321,ラテン語で「心を向けること」。animal と advert の語から。,anə-+ad-+wer-3
ane,animalcule,L,微小動物,1408,ラテン語 animal の指小形。anima(息・魂)から、animate と同じ「息」の語である。,anə-
ane,animadvert,L,非難する,1456,ラテン語で「心を向ける」。注意を向けることが、批判する意味になった。,anə-+ad-+wer-3
ane,anemophily,Gr,風媒受粉,1542,ギリシャ語 anemos(風)と philia(愛)から。animate と同じ「息」の語である。,anə-+philos
ane,animato,L,元気な,1609,イタリア語 animato(生き生きした)から。ラテン語 anima(息)で、animal と同じ語である。,anə-
ane,longanimity,L,忍耐,1617,ラテン語 longus(長い)と animus(心)から。long と animal を合わせた語である。,del-1+anə-
ane,anemotaxis,Gr,気流走性,1747,ギリシャ語 anemos(風)と taxis(配列)から。animate と tactics と同じ語である。,anə-
ane,anemoscope,Gr,風向計,1879,ギリシャ語 anemos(風)+ skopein(見る)で「風を見るもの」。anemone(アネモネ。「風の花」)と同じ「風」の語である。,anə-+spek-
ane,anemology,Gr,風学,1882,ギリシャ語 anemos(風)+ -logia(学)から。anemone(アネモネ。「風の花」)と同じ「風」の語である。,anə-+leg-
ane,anemograph,Gr,自記風速計,1892,ギリシャ語 anemos(風)+ graphein(描く)で「風を書き記すもの」。anemone(アネモネ)と同じ「風」の語である。,anə-+gerbh-
bha,smartphone,Gr,スマートフォン,150,phone は「声」。スマホを一皮むくと、5000年前の“声”の祖先が入っている。,
bha,phone,Gr,電話,301,telephone の略。1878年の新聞にすでに登場している。,bhā-2
bha,professional,L,専門職の,354,もとは修道会の入会にかかわる語。スポーツのプロの意味は1846年から。,per1+bhā-2
bha,famous,L,有名な,427,ラテン語では「悪名高い」でもあった。有名と悪名は紙一重。,bhā-2
bha,fate,L,運命,491,原義は「神が口にしたこと」。語られた言葉が運命になる。,bhā-2
bha,blame,Gr,非難する,499,もとは「神を冒涜する」。それが人を責める意味に薄まった。,bhā-2+mel-5
bha,professor,L,教授,528,原義は「公言する人」。人前で自分の専門を宣言する者のこと。,per1+bhā-2
bha,profession,L,職業,533,profession はもと修道会に入る誓い。公に宣言することが原義。,per1+bhā-2
bha,infant,L,幼児,537,ラテン語の原義は「話せない者」。ことばを持たない時期が幼児。,ne+bhā-2
bha,telephone,Gr,電話,567,1828年に作られた、音階で言葉を送る仕組みの名が先だった。,kʷel-2+bhā-2
bha,fatal,L,致命的な,591,芯は「語られたこと」。神が告げた運命が、やがて「死をもたらす」に。,bhā-2
bha,prophet,Gr,予言者,604,ギリシャ語で「代わりに語る者」。神の言葉を伝える人だった。,per1+bhā-2
bha,abandon,L,捨てる,613,古フランス語の「思いのままに」から。支配権を手放す意。,ad-+bhā-2
bha,fame,L,名声,619,ラテン語では「うわさ」。悪評も fama で、良し悪しは問わなかった。,bhā-2
bha,confess,L,自白する,623,もとは迫害されても信仰を言い切ること。ラテン語の「認める」fateri から。,kom+bhā-2
bha,fairy,L,妖精,630,もとは妖精の「国」の名。住人を指すようになったのは後のこと。,bhā-2
bha,prophecy,L,予言,654,ギリシャ語では神の意志を読み解く力のこと。,per1+bhā-2
bha,ban,G,禁止,656,古英語では「呼び集める、布告する」。禁止の意味は14世紀末から。,bhā-2
bha,infantry,L,歩兵,672,もとは「若造」の集まり。infant と同源で、原義は「話せない者」。,ne+bhā-2
bha,prophetic,Gr,予言的な,692,預言者は「前もって語る人」。語根はずばり「話す」。,per1+bhā-2
bha,abandonment,L,放棄,712,語根は「宣言」。おおやけに宣言して手放すのが「放棄」。,ad-+bhā-2
bha,infancy,L,幼年時代,712,原義は「まだ話せない」。法律では昔、21歳未満までを指した。,ne+bhā-2
bha,bee,G,ミツバチ、共同作業の集まり,722,キルトや皮むきの共同作業も bee。1769年のアメリカから。,bhei-+bhā-2
bha,preface,L,序文,731,ラテン語で「前もって語ること」。もとはミサの祈りの名だった。,per1+bhā-2
bha,microphone,Gr,マイク,733,1680年代は補聴用のらっぱの名だった。今の意味は1924年から。,smīk-+bhā-2
bha,infamous,L,悪名高い,735,かつては「無名の」意の別語もあり、16世紀に悪評の意へ合流。,ne+bhā-2
bha,fabulous,L,すばらしい,756,もとは「神話めいた」の意。1950年代に「すごい」の意味に軽くなった。,bhā-2
bha,phonetic,Gr,音声の,833,ギリシャ語のもとの形は「口に出せる」。1803年生まれの新語。,bhā-2
bha,boon,G,恩恵,836,もとは「お願い」。頼む側の言葉が、もらう側の「恵み」に変わった。,bhā-2
bha,fateful,L,運命を決める,839,1710年代は「予言する力を持つ」意味。重大事の意になるのは1800年ごろ。,bhā-2
bha,profess,L,公言する,842,もとは修道会で誓いを立てること。「公言する」は16世紀から。,per1+bhā-2
bha,symphony,Gr,交響曲,848,1300年ごろは楽器の名前だった。手回しオルガンから太鼓まで。,ksun+bhā-2
bha,blasphemy,Gr,冒涜,849,ギリシャ語の「悪く言う」から。後半は「話す」だが前半は今も不明。,mel-5+bhā-2
bha,fable,L,寓話,853,字義は「語られたもの」。動物の話に絞られたのはイソップ人気から。,bhā-2
bha,anthem,Gr,讃美歌,862,もとは「交互に歌う応答」。-th- は語源上あるはずのない綴り。,ant-+bhā-2
bha,banish,G,追放する,869,ban と同じ語。布告で「出て行け」と宣する行為が原義。,bhā-2
bha,aphasia,Gr,失語症,870,語根は「語る」で fame と同源。医学語になったのは1867年。,ne+bhā-2
bha,infantile,L,幼児の,870,元をたどると「まだ話せない」。言葉を持たぬ時期の意。,ne+bhā-2
bha,prophesy,L,予言する,873,名詞の prophecy と綴りが分かれたのは18世紀のことだった。,per1+bhā-2
bha,defamation,L,名誉毀損,890,中身は「噂をまき散らす」。dis- が破滅の含みを添えている。,dwis-+bhā-2
bha,bandit,L,無法者,900,「公に追放を宣告された者」が原義。banish と同源。,bhā-2
