id,text,meaning,root,icon
capt,capt,頭,kaput,
cap,cap,頭巾,kaput,
cabb,cabb,頭,kaput,
capit,capit,頭,kaput,
chef,chef,頭,kaput,
anim,anim,息・魂,ane,
fab,fab,話す,bha,
fam,fam,話される,bha,
phon,phon,声,bha,
fant,fant,話す,bha,
phet,phet,語る,bha,
viv,viv,生きる,gwei,
quick,quick,生きている,gwei,
zoo,zoo,生きもの,gwei,
one,one,ひとつ,oino,
uni,uni,ひとつ,oino,
on,on,ひとつ,oino,
rect,rect,まっすぐ,reg,
reg,reg,王・導く,reg,
right,right,まっすぐ,reg,
rule,rule,定規,reg,
vid,vid,見る,weid,
wis,wis,知る,weid,
ide,ide,見る,weid,
hist,hist,見て知る,weid,
ject,ject,投げる,ye,
jet,jet,投げる,ye,
sur,sur,越えて,,
com,com,共に,,
pro,pro,前へ,,
in,in,中へ,,
in_neg,in,否定,,
sub,sub,下に,,
re,re,再び,,
di,di,離れて,,
tele,tele,遠く,,
al,al,まったく,,
un,un,否定,,
ain,ain,人,,
ard,ard,人,,
age,age,もの,,
al2,al,〜の,,
ation,ation,すること,,
ate,ate,する,,
ous,ous,な,,
le,le,もの,,
id,id,な,,
o,o,(私は),,
a,a,もの,,
que,que,の,,
ory,ory,場所,,
do,do,与える,do,
don,don,贈り物・与える,do,
dat,dat,与えられた,do,
dot,dot,与える,do,
dor,dor,贈り物,do,
dan,dan,布施・贈り物,do,
mind,mind,心・精神,men,
mem,mem,記憶する,men,
mon,mon,警告する・思い出させる,men,
man2,man,考える,men,
tra,tra,道具,,
or,or,人・もの,,
anti,anti,対して,,
man,man,手,,
pan,pan,すべて,,
na,na,名詞の形,,
par,par,完全に,,
gon,gon,角,genu,
genu,genu,ひざ,genu,
knee,knee,ひざ,genu,
poly,poly,多い,,
dia,dia,横切って,,
penta,penta,五つ,,
hexa,hexa,六つ,,
octa,octa,八つ,,
tri,tri,三つ,,
ortho,ortho,まっすぐ・直角,,
metry,metry,測ること,,
