wild_id,item,time,cost
kaput,cabbage,10,0
kaput,cap,5,0
kaput,capital,10,0
kaput,kappa,10,0
kaput,captain,10,0
kaput,chef,10,0
kaput,chief,10,0
ane,animal,10,0
ane,animation,10,0
bha,fable,10,0
bha,smartphone,5,0
gwei,vivid,10,0
oino,unique,10,0
reg,rule,10,0
weid,idea,10,0
weid,wizard,10,0
mori,submarine,10,0
mori,marine,5,0
mori,merlin,5,0
men,monster,10,0
ye,jet,10,0
ye,inject,10,0
do,donor,5,0
do,pandora,5,0
do,danna,5,0
do,donation,10,0
do,data,10,0
do,date,10,0
do,antidote,12,0
do,mandate,12,0
do,pardon,10,0
kaput,cattle,5,0
kaput,bacalao,15,0
kaput,precipitation,15,0
kaput,kerchief,10,0
kaput,chieftain,10,0
kaput,corporal,10,0
kaput,cadet,10,0
kaput,heading,5,0
kaput,chapter,5,0
kaput,recapitulate,15,0
kaput,headline,10,0
kaput,headphone,10,0
kaput,capo,15,0
kaput,biceps,10,0
kaput,triceps,10,0
kaput,hammerhead,15,0
kaput,caddie,10,0
kaput,cabochon,15,0
kaput,capitulum,15,0
kaput,ahead,5,0
kaput,precipitate,15,0
kaput,headquarters,15,0
kaput,capitol,20,0
kaput,achieve,10,0
kaput,mischief,5,0
