root_key,icon_file,concept_ja
per1,root-per1.png,前へ
kom,root-kom.png,一緒に
en,root-en.png,中に
ne,root-ne.png,否定
re-,root-re.png,後ろに
eghs,root-eghs.png,外へ
ad-,root-ad.png,〜へ
dhē-,root-dhe.png,置く
de-,root-de.png,指示語幹
stā-,root-sta.png,立つ
dwis-,root-dwis.png,二つに・離れて
leg-,root-leg.png,集める
apo-,root-apo.png,離れて
upo,root-upo.png,下から上へ
genə-,root-gene.png,命を与える
weid-,root-weid.png,見る
ten-,root-ten.png,伸ばす
dwo-,root-dwo.png,二
epi,root-epi.png,近くに
reg-,root-reg.png,導く
wer-3,root-wer3.png,回す
pelə-1,root-pele1.png,満たす
ambhi,root-ambhi.png,周囲に
ag-,root-ag.png,動かす
ped-,root-ped.png,足
kap-,root-kap.png,しっかり握る
bher-1,root-bher1.png,運ぶ
sem-1,root-sem1.png,一つ・一緒に
s(w)e-,root-swe.png,自身
sed-,root-sed.png,座る
gwei-,root-gwei.png,生きる
trei-,root-trei.png,三
uper,root-uper.png,超えて
spek-,root-spek.png,観察する
deik-,root-deik.png,示す
dekm̥,root-dekm.png,十
mei-1,root-mei1.png,変化する
ak-,root-ak.png,鋭い
per-2,root-per2.png,導く
terə-2,root-tere2.png,横切る
bhā-2,root-bha2.png,話す
leu-,root-leu.png,解く
men-1,root-men1.png,考える
gnō-,root-gno.png,知る
kʷel-1,root-kwel1.png,回転する
gʷā-,root-gwa.png,行く
(s)pen-,root-spen.png,引く
gerbh-,root-gerbh.png,ひっかく
al-1,root-al1.png,越えて
pet-,root-pet.png,急ぐ
bheuə-,root-bheue.png,存在する
okʷ-,root-okw.png,見る
-ā-,root-a.png,
wegh-,root-wegh.png,行く
(s)ker-1,root-sker1.png,切る
(s)ker-3,root-sker3.png,回す
bhel-1,root-bhel1.png,輝く
ant-,root-ant.png,前
deuk-,root-deuk.png,導く
plek-,root-plek.png,編む
ker-1,root-ker1.png,角
bhā-1,root-bha1.png,輝く
mē-2,root-me2.png,測る
wel-3,root-wel3.png,転がる
ei-,root-ei.png,行く
kʷo-,root-kwo.png,誰・何
ghel-2,root-ghel2.png,輝く
dō-,root-do.png,与える
kaput-,root-kaput.png,頭
kʷetwer-,root-kwetwer.png,四
kers-2,root-kers2.png,走る
oi-no-,root-oino.png,一つ
perə-2,root-pere2.png,認める
skei-,root-skei.png,切る
leuk-,root-leuk.png,光
an-,root-an.png,上に
perə-1,root-pere1.png,生産する
sekʷ-1,root-sekw1.png,追う
med-,root-med.png,処置する
kelə-2,root-kele2.png,叫ぶ
man-2,root-man2.png,手
krei-,root-krei.png,ふるう
sterə-,root-stere.png,広げる
es-,root-es.png,存在する
werg-,root-werg.png,行動する
klāu-,root-klau.png,留め金
yē-,root-ye.png,投げる
no-men,root-nomen.png,名
meg-,root-meg.png,大きい
kaə-id-,root-kaeid.png,殴る
ghabh-,root-ghabh.png,与える
(s)teu-1,root-steu1.png,押す
ksun,root-ksun.png,共に
terə-1,root-tere1.png,こする
dheu-1,root-dheu1.png,立ちのぼる
dyeu-,root-dyeu.png,輝く
gheu-,root-gheu.png,注ぐ
g(e)r-2,root-ger2.png,曲がった
ked-,root-ked.png,行く
