rank,key,pie,meaning_ja,meaning_en,slug,chara_asset,concept_asset
42,gerbh-,gerbh-,ひっかく,to scratch,gerbh,assets/chara/T_ch_gerbh.png,assets/root-concept/root-gerbh.png
43,bheuə-,bheuə-,存在する,to be,bheue,assets/chara/T_ch_bheue.png,assets/root-concept/root-bheue.png
44,gnō-,gnō-,知る,to know,gno,assets/chara/T_ch_gno.png,assets/root-concept/root-gno.png
45,kʷel-1,kʷel-1,回転する,to revolve,kwel1,assets/chara/T_ch_kwel1.png,assets/root-concept/root-kwel1.png
46,-ā-,-ā-,抽象名詞・集合名詞を作る,,a,assets/chara/T_ch_a.png,assets/root-concept/root-a.png
47,(s)pen-,(s)pen-,引く,to draw,spen,assets/chara/T_ch_spen.png,assets/root-concept/root-spen.png
48,(s)ker-1,(s)ker-1,切る,to cut,sker1,assets/chara/T_ch_sker1.png,assets/root-concept/root-sker1.png
49,ak-,ak-,鋭い,sharp,ak,assets/chara/T_ch_ak.png,assets/root-concept/root-ak.png
51,(s)ker-3,(s)ker-3,回す,to turn,sker3,assets/chara/T_ch_sker3.png,assets/root-concept/root-sker3.png
52,al-1,al-1,越えて,beyond,al1,assets/chara/T_ch_al1.png,assets/root-concept/root-al1.png
53,bhel-1,bhel-1,輝く,to shine,bhel1,assets/chara/T_ch_bhel1.png,assets/root-concept/root-bhel1.png
54,mē-2,mē-2,測る,to measure,me2,assets/chara/T_ch_me2.png,assets/root-concept/root-me2.png
55,wegh-,wegh-,行く,to go,wegh,assets/chara/T_ch_wegh.png,assets/root-concept/root-wegh.png
57,plek-,plek-,編む,to plait,plek,assets/chara/T_ch_plek.png,assets/root-concept/root-plek.png
58,ant-,ant-,前,front,ant,assets/chara/T_ch_ant.png,assets/root-concept/root-ant.png
59,deuk-,deuk-,導く,to lead,deuk,assets/chara/T_ch_deuk.png,assets/root-concept/root-deuk.png
60,ker-1,ker-1,角,horn,ker1,assets/chara/T_ch_ker1.png,assets/root-concept/root-ker1.png
61,okʷ-,okʷ-,見る,to see,okw,assets/chara/T_ch_okw.png,assets/root-concept/root-okw.png
62,pet-,pet-,急ぐ,to rush,pet,assets/chara/T_ch_pet.png,assets/root-concept/root-pet.png
63,wel-3,wel-3,転がる,to turn,wel3,assets/chara/T_ch_wel3.png,assets/root-concept/root-wel3.png
64,ei-,ei-,行く,to go,ei,assets/chara/T_ch_ei.png,assets/root-concept/root-ei.png
65,an-,an-,上に,on,an,assets/chara/T_ch_an.png,assets/root-concept/root-an.png
66,kʷo-,kʷo-,誰・何,who/what,kwo,assets/chara/T_ch_kwo.png,assets/root-concept/root-kwo.png
67,krei-,krei-,ふるう,to sieve,krei,assets/chara/T_ch_krei.png,assets/root-concept/root-krei.png
68,kers-2,kers-2,走る,to run,kers2,assets/chara/T_ch_kers2.png,assets/root-concept/root-kers2.png
69,sekʷ-1,sekʷ-1,追う,to follow,sekw1,assets/chara/T_ch_sekw1.png,assets/root-concept/root-sekw1.png
70,bhā-1,bhā-1,輝く,to shine,bha1,assets/chara/T_ch_bha1.png,assets/root-concept/root-bha1.png
73,ghel-2,ghel-2,輝く,to shine,ghel2,assets/chara/T_ch_ghel2.png,assets/root-concept/root-ghel2.png
75,(s)teu-1,(s)teu-1,押す,push,steu1,assets/chara/T_ch_steu1.png,assets/root-concept/root-steu1.png
76,ksun,ksun,共に,with,ksun,assets/chara/T_ch_ksun.png,assets/root-concept/root-ksun.png
77,man-2,man-2,手,hand,man2,assets/chara/T_ch_man2.png,assets/root-concept/root-man2.png
78,perə-2,perə-2,認める,to grant,pere2,assets/chara/T_ch_pere2.png,assets/root-concept/root-pere2.png
79,skei-,skei-,切る,to cut,skei,assets/chara/T_ch_skei.png,assets/root-concept/root-skei.png
80,med-,med-,処置する,to manage,med,assets/chara/T_ch_med.png,assets/root-concept/root-med.png
81,sterə-,sterə-,広げる,spread,stere,assets/chara/T_ch_stere.png,assets/root-concept/root-stere.png
82,es-,es-,存在する,to be,es,assets/chara/T_ch_es.png,assets/root-concept/root-es.png
83,perə-1,perə-1,生産する,to produce,pere1,assets/chara/T_ch_pere1.png,assets/root-concept/root-pere1.png
84,werg-,werg-,行動する,to do,werg,assets/chara/T_ch_werg.png,assets/root-concept/root-werg.png
85,g(e)r-2,g(e)r-2,曲がった,crooked,ger2,assets/chara/T_ch_ger2.png,assets/root-concept/root-ger2.png
86,ked-,ked-,行く,to go,ked,assets/chara/T_ch_ked.png,assets/root-concept/root-ked.png
87,leuk-,leuk-,光,light,leuk,assets/chara/T_ch_leuk.png,assets/root-concept/root-leuk.png
